#t dx dy dz
0.283 -1.8326 -0.7635 5.0336
0.284 -1.6729 -0.4592 5.0209
0.285 -1.6257 -0.4273 4.8115
0.286 -1.6163 -0.3919 4.5041
0.287 -1.4041 -0.2532 4.5036
0.288 -1.5741 -0.0528 4.5814
0.289 -1.7378 0.1173 4.3387
0.29 -1.9406 0.2355 4.5168
0.291 -2.1976 -0.0309 4.4966
0.292 -2.4509 -0.2680 4.5030
0.293 -2.3458 0.0106 4.4596
0.294 -2.2073 -0.1564 4.6089
0.295 -1.9349 -0.4099 4.5130
0.296 -2.0864 -0.3563 4.3782
0.297 -2.2282 -0.2051 4.4659
0.298 -2.2859 -0.0355 4.2979
0.299 -2.1918 -0.0233 3.8627
0.3 -1.9545 -0.0263 3.8351
0.301 -2.0600 0.0421 3.8061
0.302 -1.9883 0.2515 4.0064
0.303 -1.7457 0.3986 3.9662
0.304 -2.0770 0.7197 3.9384
0.305 -2.1175 0.7083 4.3608
0.306 -2.1616 0.8576 3.9565
0.307 -2.2516 0.7599 4.2444
0.308 -2.2934 0.5303 4.3578
0.309 -2.3257 0.6629 4.3861
0.31 -2.4645 0.8262 4.3098
0.311 -2.5617 0.8222 4.2116
0.312 -2.5914 1.0687 4.4263
0.313 -2.5180 0.8398 4.3078
0.314 -2.6459 0.6386 4.2560
0.315 -2.7537 0.6109 4.4186
0.316 -2.7441 0.3830 4.3451
0.317 -2.9795 0.1202 4.0050
0.318 -2.8113 0.2680 4.4657
0.319 -2.8425 0.0863 4.7901
0.32 -2.6717 0.2236 4.4819
0.321 -2.5246 -0.0492 4.2580
0.322 -2.4443 -0.2284 4.2064
0.323 -2.5179 -0.2533 4.0252
0.324 -2.3945 -0.5149 4.0580
0.325 -2.5092 -0.8429 3.7711
0.326 -2.7144 -0.5932 3.7438
0.327 -2.4914 -0.6686 3.5666
0.328 -2.4951 -0.4540 3.6321
0.329 -2.5823 -0.4407 3.3692
0.33 -2.7457 -0.5773 2.8466
0.331 -2.5145 -0.5822 3.3078
0.332 -2.6950 -0.5603 2.7050
0.333 -2.5442 -0.4567 2.8737
0.334 -2.8349 -0.1878 3.1228
0.335 -2.4993 -0.3857 2.7807
0.336 -2.6155 -0.3128 2.8180
0.337 -2.7922 0.0420 3.0914
0.338 -2.6616 0.1999 3.0056
0.339 -2.5626 0.0894 2.7046
0.34 -2.2767 -0.0800 2.8203
0.341 -2.1515 0.2995 2.4038
0.342 -2.3351 0.2010 2.3853
0.343 -2.5726 0.2488 2.1017
0.344 -2.5473 0.3595 2.1229
0.345 -2.1591 0.2716 2.0355
0.346 -2.1905 0.5671 1.9301
0.347 -2.3156 0.5878 1.9868
0.348 -2.3562 0.4776 2.2552
0.349 -2.2554 0.6741 2.0553
0.35 -1.9073 0.5607 1.6475
0.351 -1.8794 0.4801 1.5061
0.352 -1.8603 0.5034 1.6213
0.353 -1.8482 0.2049 1.7488
0.354 -2.2239 -0.0475 1.8640
0.355 -2.0603 -0.1914 2.1202
0.356 -2.0845 -0.2648 2.2950
0.357 -2.2800 -0.3126 2.2965
0.358 -2.5274 -0.2603 2.2289
0.359 -2.5107 0.0070 2.1456
0.36 -2.3597 0.1080 2.0046
0.361 -2.1494 0.2682 2.2221
0.362 -2.1030 -0.0881 2.2610
0.363 -2.3675 -0.0715 2.1112
0.364 -2.4865 -0.1339 2.0734
0.365 -2.1548 -0.2576 2.3655
0.366 -1.8318 -0.5969 2.5727
0.367 -2.0357 -0.7420 2.3643
0.368 -2.1972 -0.8380 2.5786
0.369 -2.4951 -0.5711 2.7356
0.37 -2.1734 -0.6799 2.4211
0.371 -2.0473 -1.0524 2.0936
0.372 -1.9158 -1.0376 2.0543
0.373 -2.0417 -1.2408 1.9681
0.374 -2.2771 -1.5679 1.9960
0.375 -2.3240 -1.7831 2.1921
0.376 -2.3942 -2.0349 1.9813
0.377 -2.6342 -1.9447 2.1782
0.378 -2.6980 -2.0170 1.8813
0.379 -3.0627 -2.1337 1.9012
0.38 -3.3121 -2.3823 2.2545
0.381 -3.2261 -2.2833 2.2949
